,city,country_x,latitude_x,longitude_x,bikes_to_pop
0,A Coruña,ES,43.36424634319941,-8.408500533073335,0.002835400133622305
1,Aachen,DE,50.80398921995724,6.0766672256021055,0.0052756253262135145
2,Agen,FR,44.201187,0.6286307333333333,0.0029080334423845873
3,Alba,IT,44.69605602458234,8.031605191678535,0.00022223633246555336
4,Amiens,FR,49.8933128563399,2.29706700671722,0.004209166629548795
5,Andria,IT,41.22787965414192,16.297649515085727,0.0001301861662176913
6,"Ann Arbor, MI",US,42.29492,-83.71988,3.965663455496105e-05
7,Arezzo,IT,43.46072141015951,11.88134641188617,0.0007543829650268057
8,"Aspen, CO",US,39.379479724,-107.066186944,0.02365977837675951
9,Assemini,IT,39.2750630558718,9.063928356600954,0.002416267053269395
10,"Atlanta, GA",US,33.76246512638073,-84.37931087750353,0.00016704464728909126
11,Augsburg,DE,48.35943072527472,10.89326489010989,0.0014166312508853945
12,"Austin, TX",US,30.26762329113924,-97.74225886075949,0.0005996681635267961
13,Avignon,FR,43.941803123662865,4.825955897705019,0.005636167406163808
14,Bad Oeynhausen,DE,52.2061105,8.797576857142857,0.001536790771059156
15,Barcelona,ES,41.3997463324921,2.168084441638838,0.02268019205910492
16,Belfort,FR,47.631465514285715,6.859593971428572,0.013587766750436598
17,Bensheim,DE,49.684205454545456,8.612910363636363,0.0020428757783848973
18,Bergamo,IT,45.69519510907109,9.670264874411364,0.004490460871794447
19,Berlin,DE,52.51085977442962,13.405488953938873,0.0026433563650809584
20,Bern,CH,46.948490468525286,7.4381090164952965,0.05339736934487575
21,Besançon,FR,47.2397951,6.0254202,0.003382435014967275
22,Białystok,PL,53.13428159375,23.15133859375,0.0032599124864730435
23,Bielefeld,DE,52.025000370967746,8.533361532258064,0.0006646666786426429
24,Biella,IT,45.56073862079526,8.05104104844636,0.00029329482898655354
25,Bielsko-Biała,PL,49.81068954166667,19.036156625,0.00088
26,Bilbao,ES,43.261099953488376,-2.936355488372093,0.0015187096774193548
27,Bochum,DE,51.46203551648352,7.2375133186813185,0.0033364978845066865
28,"Boise, ID",US,43.61274608443353,-116.2058413132288,0.001443223356558977
29,Bonn,DE,50.72282688888889,7.106541083333333,0.00029528300465522697
30,Bordeaux,FR,44.84106135268817,-0.5859421397849462,0.015052230627150729
31,"Boston, MA",US,42.35830555184005,-71.08691906568741,0.0017730445898616635
32,Bottrop,DE,51.520131,6.924735142857143,0.0005452237547174634
33,"Boulder, CO",US,40.0166725925926,-105.26200055555556,0.0053799930473936
34,Bourg-en-Bresse,FR,46.20545521052632,5.223789578947368,0.0035880527540729248
35,Braunschweig,DE,52.27137338461539,10.526796692307693,0.0009163140063418575
36,Bremen,DE,53.08088155952381,8.825597083333333,0.00031416957744191833
37,Brescia,IT,45.53945496342918,10.221083366468761,0.004310147653053445
38,Brno,CZ,49.20218881914894,16.602713973404256,0.0014827211987290961
39,"Buffalo, NY",US,42.97445371574501,-78.9071966948403,0.0006688863341146961
40,Busto Arsizio,IT,45.61561107116605,8.850461074040734,0.00019266662652778614
41,Bydgoszcz,PL,53.130537798917864,18.043528570435715,0.00240526736248302
42,Bürstadt,DE,49.64888011111111,8.46282011111111,0.003408399269628728
43,Cagliari,IT,39.21972537435788,9.12616873241526,7.137944012562782e-05
44,Calais,FR,50.9427770720751,1.8650084530120152,0.012148802259732068
45,Carbonia,IT,39.166767875464735,8.52058630510344,0.0005306916681408102
46,Cergy,FR,49.037674112093,2.063152858343159,0.012258375802900998
47,"Charlotte, NC",US,35.22012666666667,-80.84244433333333,0.0002295352504803421
48,"Chattanooga, TN",US,35.04782506190476,-85.30617381904761,0.0016913298266758921
49,Chełm,PL,51.129247588235295,23.475333588235294,0.004140416964343703
50,"Chicago, IL",US,41.84384517633933,-87.66677752034192,0.0015613400113389118
51,Ciechanów,PL,52.877741666666665,20.629817555555558,0.003072268125218201
52,"Cincinnati, OH",US,39.10852215384615,-84.50978123076922,0.0005022522509369048
53,Clermont-Ferrand,FR,45.78096550517241,3.0945417827586206,0.008413079498190918
54,"Columbus, OH",US,39.981748742880704,-82.99502460598347,0.0008510785895604452
55,Como,IT,45.81150565845023,9.08106322764703,0.002016322611617859
56,Cremona,IT,45.13406946921307,10.020568608966423,0.00018036266770259584
57,Créteil,FR,48.783308499951744,2.4602214507230977,0.0019839993136434807
58,Cuneo,IT,44.3881041147924,7.5456614339198165,0.0001599118707912084
59,Częstochowa,PL,50.80808261538462,19.12279042307692,0.0017508351170059376
60,"Dayton, OH",US,39.75368777777778,-84.18789555555556,0.0005103623290568166
61,"Denver, CO",US,39.74518763157894,-104.9877497368421,0.00043912514500749793
62,"Des Moines, IA",US,41.587674642857145,-93.64620714285715,0.0005557131587435442
63,Dortmund,DE,51.504818329787234,7.4553618723404265,0.0015688383109634914
64,Dresden,DE,51.042451822485205,13.769803887573964,0.000818618954232082
65,Duisburg,DE,51.433531104477616,6.764803268656717,0.0009861157324782964
66,Düsseldorf,DE,51.22532185714286,6.785266142857143,0.00016255807580779752
67,"El Paso, TX",US,31.767460588235295,-106.49689294117648,0.0002077185702919642
68,Eppelheim,DE,49.399821,8.628836333333334,0.002929878247281724
69,Essen,DE,51.446699275,7.004985962499999,0.004887154927798104
70,"Fargo, ND",US,46.88606272727272,-96.79493545454547,0.0008103805894554049
71,Ferrara,IT,44.836512069508025,11.617861087982462,6.047868882202634e-05
72,Forlì,IT,44.22155447420031,12.042662610316729,0.0013744771471963211
73,"Fort Lauderdale, FL",US,26.125372,-80.1128185,0.0012729976350776694
